Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso	Tag
AMZN	2023-08-02 15:30:00+00:00	2023-08-04 15:30:00+00:00	128.5449981689453	142.9550018310547	2 days 00:00:00						2	long
AMZN	2023-08-22 14:30:00+00:00	2023-08-25 14:30:00+00:00	134.94500732421875	131.9499969482422	3 days 00:00:00	-74.0	211.0	232.0	0.02219430296358249	221.63076782226562	3	short
AMZN	2023-08-25 18:30:00+00:00	2023-09-06 16:30:00+00:00	133.14999389648438	135.1199951171875	10 days 19:00:00	-76.0	236.0	273.0	-0.03439731161095927	-348.08013916015625	4	short
AMZN	2023-09-05 13:30:00+00:00	2023-09-14 17:30:00+00:00	137.72999572753906	145.22999572753906	1 days 03:00:00	71.0	273.0	283.0	-0.01895012481895908	-185.31004333496094	5	long
AMZN	2023-09-29 13:30:00+00:00	2023-10-03 18:30:00+00:00	128.1999969482422	124.62999725341795	4 days 05:00:00	-75.0	399.0	418.0	0.027847112166980326	267.7499771118175	6	short
AMZN	2023-10-04 19:30:00+00:00	2023-10-26 16:30:00+00:00	126.8499984741211	118.97000122070312	8 days 21:00:00	-78.0	426.0	472.0	-0.03003551623034162	-297.18040466308594	7	short
AMZN	2023-10-13 16:30:00+00:00	2023-11-07 18:30:00+00:00	130.66000366210938	143.0800018310547	10 days 21:00:00	73.0	472.0	518.0	-0.022348122734567544	-213.16042327880962	8	long
AMZN		2023-10-26 16:30:00+00:00		118.97000122070312							8	short
AMZN	2023-10-24 13:30:00+00:00	2023-10-26 16:30:00+00:00	127.73999786376952	118.97000122070312	2 days 03:00:00	-73.0	518.0	535.0	0.06865505550124795	640.2097549438466	9	short
AMZN		2023-11-07 18:30:00+00:00		143.0800018310547							10	long
AMZN	2023-10-27 14:30:00+00:00	2023-11-10 14:30:00+00:00	129.02000427246094	140.11000061035156	11 days 04:00:00	-78.0	540.0	592.0	-0.10897533012711902	-1096.6798095703125	10	short
AMZN	2024-01-17 17:30:00+00:00	2024-01-29 20:30:00+00:00	151.11000061035156	160.97999572753906	12 days 03:00:00	59.0	916.0	975.0	0.06531662416333406	582.3297119140625	11	long
AMZN	2024-01-31 20:30:00+00:00	2024-02-02 16:30:00+00:00	156.02999877929688	170.83999633789062	1 days 20:00:00	61.0	989.0	999.0	0.09491762913837087	903.4098510742188	12	long
AMZN	2024-02-27 17:30:00+00:00	2024-03-04 14:30:00+00:00	174.00999450683594	178.0	5 days 21:00:00	60.0	1112.0	1137.0	0.02292974897489186	239.40032958984375	13	long
AMZN	2024-03-05 19:30:00+00:00	2024-03-08 14:30:00+00:00	173.91000366210938	176.77000427246094	2 days 19:00:00	61.0	1149.0	1165.0	0.01644529095582259	174.4600372314453	14	long
AMZN	2024-03-12 14:30:00+00:00	2024-03-15 15:30:00+00:00	175.9250030517578	175.00999450683594	3 days 01:00:00	-61.0	1180.0	1202.0	0.00520112848685117	55.815521240234375	15	short
AMZN	2024-03-15 15:30:00+00:00	2024-03-25 13:30:00+00:00	175.00999450683594	177.92999267578125	6 days 22:00:00	62.0	1202.0	1235.0	0.01566770173473797	170.0042724609375	16	long
AMZN	2024-03-22 13:30:00+00:00	2024-03-25 13:30:00+00:00	177.7519989013672	177.92999267578125	3 days 00:00:00	62.0	1235.0	1242.0	0.0010013601844940379	11.035614013671875	17	long
AMZN	2024-03-27 14:30:00+00:00	2024-04-08 13:30:00+00:00	178.3300018310547	186.98599243164065	11 days 23:00:00	62.0	1257.0	1305.0	0.04853917182587386	536.67141723633	18	long
